Merge_Col	CCd_1_readcounts.tab	CCd_2_readcounts.tab	CCd_3_readcounts.tab	CCd_4_readcounts.tab	CCd_5_readcounts.tab	CCd_6_readcounts.tab	CCd_7_readcounts.tab	CCd_8_readcounts.tab	CCt_1_readcounts.tab	CCt_2_readcounts.tab	CCt_3_readcounts.tab	CCt_4_readcounts.tab	CCt_5_readcounts.tab	CCt_6_readcounts.tab	CCt_7_readcounts.tab	CCt_8_readcounts.tab	DD_1_readcounts.tab	DD_2_readcounts.tab	DD_3_readcounts.tab	DD_4_readcounts.tab	DD_5_readcounts.tab	DSC_1_readcounts.tab	DSC_2_readcounts.tab	DSC_3_readcounts.tab	DSC_4_readcounts.tab	ECd_1_readcounts.tab	ECd_2_readcounts.tab	ECd_3_readcounts.tab	ECd_4_readcounts.tab	ECd_5_readcounts.tab	ECd_6_readcounts.tab	ECd_7_readcounts.tab	ECd_8_readcounts.tab	ECt_1_readcounts.tab	ECt_2_readcounts.tab	ECt_3_readcounts.tab	ECt_4_readcounts.tab	ECt_5_readcounts.tab	ECt_6_readcounts.tab	ECt_7_readcounts.tab	ECt_8_readcounts.tab	TT_1_readcounts.tab	TT_2_readcounts.tab	TT_3_readcounts.tab	TT_4_readcounts.tab	TT_5_readcounts.tab
AT1G20080	11	106	105	459	43	117	178	4	2007	195	127	260	344	218	364	772	166	84	623	750	663	22	53	52	203	41	464	509	70	325	89	223	1202	248	529	461	198	101	156	320	545	1214	1013	481	104	165
AT1G20090	0	328	155	218	8	39	81	31	4	0	13	11	292	117	35	41	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0
AT1G20100	60	1967	657	138	513	570	245	199	453	596	561	871	221	1258	2344	394	0	1	3	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	1	0	0	1	0	0	0	4	0	0	0	0
AT1G20110	103	276	307	82	376	222	123	153	863	270	92	33	478	446	121	67	15	19	6	38	22	31	46	1	68	0	12	166	0	34	3	0	1	84	8	91	120	49	119	8	85	284	77	15	14	156
AT1G20120	11	4	0	0	0	36	0	0	4	0	0	0	1	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G20130	0	0	0	0	6	0	0	16	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G20132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G20135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AT1G20140	200	560	241	525	169	263	732	242	1192	82	166	518	303	334	240	927	275	173	334	451	175	0	0	0	0	1	24	211	524	224	27	100	15	94	68	11	238	263	135	77	485	86	343	98	61	43
AT1G20150	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G20160	0	8	0	0	13	0	0	14	0	0	13	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G20170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
